"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-01","7.16","0.00","0.0","0.0","39","27"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-02","7.16","0.00","0.0","0.0","42","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-03","6.49","0.71","0.0","0.0","42","33"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-04","6.49","0.30","0.0","0.0","56","41"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-05","10.51","0.00","0.0","0.0","49","21"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-06","4.03","0.05","1.0","0.0","22","19"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-07","12.75","0.00","0.0","1.2","23","9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-08","8.72","0.00","0.0","0.0","21","8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-09","8.72","0.07","1.5","0.0","33","19"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-10","8.05","0.00","0.0","1.2","23","16"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-11","6.04","0.00","0.0","1.2","37","18"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-12","3.80","0.36","0.0","0.0","39","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-13","8.50","0.00","0.0","0.0","36","17"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-14","6.26","0.00","0.0","0.0","32","16"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-15","4.70","0.00","0.0","0.0","35","25"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-16","9.84","0.00","0.0","0.0","43","20"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-17","6.04","0.00","0.0","0.0","32","17"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-18","3.80","2.10","0.0","0.0","42","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-19","7.61","0.00","0.0","0.0","42","36"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-20","5.82","0.00","0.0","0.0","40","32"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-21","4.25","0.00","0.0","0.0","36","25"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-22","5.59","0.00","0.0","0.0","40","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-23","5.59","0.00","0.0","0.0","39","28"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-24","6.04","0.72","3.6","3.1","39","33"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-25","6.26","0.00","0.0","2.0","42","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-26","12.75","0.48","5.5","2.0","31","22"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-27","8.28","0.36","4.3","7.9","30","20"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-28","7.61","0.00","0.0","7.9","34","16"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-29","3.80","0.02","0.0","5.9","36","19"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-30","10.51","0.06","1.0","7.1","38","19"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-31","12.30","0.00","0.0","7.1","26","13"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-01","3.80","0.03","0.3","5.9","36","20"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-02","9.84","1.02","5.0","7.1","34","14"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-03","7.16","0.00","0.0","7.9","26","13"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-04","4.25","0.00","0.0","7.9","43","24"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-05","8.50","0.00","0.0","7.9","42","14"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-06","7.16","0.00","0.0","7.9","27","12"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-07","3.80","0.02","0.0","7.9","40","25"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-08","8.50","0.00","0.0","7.9","37","29"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-09","10.96","0.09","0.0","7.9","29","25"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-10","10.51","0.01","0.1","7.9","40","26"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-11","6.49","0.00","0.0","7.9","34","22"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-12","7.38","0.00","0.0","7.9","40","16"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-13","9.17","0.00","0.0","7.9","21","8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-14","5.37","0.02","0.9","7.9","32","16"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-15","14.54","0.00","0.0","9.1","25","4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-16","6.93","0.00","0.0","9.1","21","3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-17","4.70","0.14","3.3","11.8","27","14"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-18","4.25","0.00","0.0","9.1","33","19"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-19","11.41","0.00","0.0","9.1","27","8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-20","10.29","0.00","0.0","9.1","19","2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-21","4.47","0.61","3.0","9.1","32","13"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-22","2.91","0.10","1.0","13.0","43","32"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-23","11.18","0.00","0.0","11.8","38","8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-24","5.82","0.00","0.0","11.8","24","4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-25","6.49","0.00","0.0","11.8","37","20"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-26","7.16","0.00","0.0","11.0","32","21"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-27","6.04","0.00","0.0","11.0","30","18"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-28","3.58","0.00","0.0","11.0","29","13"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-01","2.24","0.52","4.8","9.8","31","24"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-02","8.05","0.00","0.0","15.0","39","27"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-03","4.92","0.67","1.8","14.2","37","22"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-04","6.04","0.25","0.0","13.0","45","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-05","5.82","0.76","7.5","13.0","40","19"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-06","6.26","0.00","0.0","18.9","27","12"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-07","5.14","0.00","0.0","18.1","38","18"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-08","5.14","0.00","0.0","16.1","49","37"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-09","4.70","0.01","0.0","13.0","54","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-10","3.58","0.46","0.0","11.0","53","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-11","6.93","0.01","0.0","5.9","59","44"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-12","8.28","0.00","0.0","3.9","47","36"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-13","6.49","0.00","0.0","2.0","43","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-14","5.59","0.81","0.0","1.2","51","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-15","11.41","0.00","0.0","0.0","44","36"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-16","3.80","0.00","0.0","0.0","52","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-17","9.62","0.02","0.0","0.0","57","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-18","9.62","0.00","0.0","0.0","39","29"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-19","5.82","0.00","0.0","0.0","43","29"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-20","7.83","0.40","4.5","0.0","38","29"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-21","5.37","0.00","0.0","5.1","47","29"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-22","7.61","0.00","0.0","0.0","43","28"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-23","6.71","0.00","0.0","0.0","38","23"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-24","4.03","0.00","0.0","0.0","45","26"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-25","4.47","0.05","0.0","0.0","49","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-26","2.91","0.32","0.0","0.0","62","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-27","4.25","0.27","0.0","0.0","46","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-28","7.61","0.00","0.0","0.0","40","26"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-29","6.26","0.00","0.0","0.0","46","25"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-30","7.83","0.00","0.0","0.0","54","36"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-31","5.37","0.17","0.0","0.0","47","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-01","5.14","0.00","0.0","0.0","51","32"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-02","6.26","0.00","0.0","0.0","67","41"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-03","6.71","0.04","0.0","0.0","64","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-04","10.07","0.01","0.0","0.0","60","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-05","4.92","0.00","0.0","0.0","61","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-06","4.25","0.00","0.0","0.0","63","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-07","6.93","0.15","0.0","0.0","62","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-08","11.41","0.00","0.0","0.0","45","37"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-09","8.95","0.00","0.0","0.0","43","37"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-10","4.70","0.17","0.0","0.0","56","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-11","8.72","0.00","0.0","0.0","57","44"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-12","3.36","0.00","0.0","0.0","66","43"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-13","4.70","0.00","0.0","0.0","68","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-14","3.80","0.01","0.0","0.0","65","55"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-15","6.26","0.00","0.0","0.0","72","51"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-16","6.49","0.00","0.0","0.0","64","52"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-17","5.14","0.08","0.0","0.0","71","55"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-18","4.25","0.00","0.0","0.0","80","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-19","8.50","0.00","0.0","0.0","64","48"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-20","7.38","1.37","0.0","0.0","57","46"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-21","6.04","0.20","0.0","0.0","65","52"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-22","6.49","0.05","0.0","0.0","69","48"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-23","9.17","0.00","0.0","0.0","52","41"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-24","8.50","0.00","0.0","0.0","52","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-25","5.59","0.00","0.0","0.0","62","38"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-26","5.14","0.00","0.0","0.0","64","46"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-27","5.82","0.00","0.0","0.0","62","49"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-28","7.83","0.00","0.0","0.0","71","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-29","5.59","0.00","0.0","0.0","78","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-30","8.05","0.00","0.0","0.0","67","48"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-01","5.14","0.00","0.0","0.0","63","49"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-02","2.91","0.00","0.0","0.0","74","48"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-03","2.46","0.00","0.0","0.0","80","51"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-04","5.37","0.00","0.0","0.0","85","57"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-05","4.03","0.00","0.0","0.0","85","66"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-06","4.92","0.00","0.0","0.0","73","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-07","2.24","0.00","0.0","0.0","80","56"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-08","2.91","0.00","0.0","0.0","82","56"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-09","4.25","0.00","0.0","0.0","70","57"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-10","3.58","0.00","0.0","0.0","83","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-11","3.80","0.00","0.0","0.0","84","70"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-12","5.37","0.00","0.0","0.0","86","64"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-13","7.38","0.00","0.0","0.0","70","53"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-14","3.80","0.00","0.0","0.0","73","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-15","3.36","0.00","0.0","0.0","75","55"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-16","2.01","0.30","0.0","0.0","75","57"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-17","2.01","0.02","0.0","0.0","83","64"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-18","4.70","0.00","0.0","0.0","75","60"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-19","2.46","0.00","0.0","0.0","80","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-20","6.93","0.00","0.0","0.0","67","54"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-21","2.68","0.00","0.0","0.0","62","52"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-22","6.04","0.00","0.0","0.0","74","55"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-23","4.47","0.00","0.0","0.0","70","49"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-24","3.80","0.00","0.0","0.0","81","56"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-25","4.92","0.00","0.0","0.0","85","64"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-26","5.14","0.00","0.0","0.0","88","67"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-27","5.14","0.08","0.0","0.0","85","70"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-28","4.03","0.00","0.0","0.0","85","70"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-29","4.03","0.00","0.0","0.0","85","65"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-30","5.59","0.00","0.0","0.0","85","67"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05-31","5.59","1.46","0.0","0.0","87","57"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-01","10.29","0.72","0.0","0.0","58","51"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-02","6.26","0.37","0.0","0.0","55","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-03","4.70","0.00","0.0","0.0","70","52"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-04","5.14","0.00","0.0","0.0","65","54"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-05","2.91","0.13","0.0","0.0","70","55"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-06","4.70","0.19","0.0","0.0","76","60"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-07","3.80","0.00","0.0","0.0","74","55"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-08","6.04","0.06","0.0","0.0","79","63"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-09","4.92","0.01","0.0","0.0","83","68"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-10","3.13","0.00","0.0","0.0","82","65"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-11","4.47","0.00","0.0","0.0","89","72"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-12","4.47","0.00","0.0","0.0","88","73"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-13","5.37","0.00","0.0","0.0","86","72"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-14","2.68","0.36","0.0","0.0","88","66"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-15","4.70","0.57","0.0","0.0","83","64"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-16","2.24","0.27","0.0","0.0","79","65"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-17","3.80","0.00","0.0","0.0","82","66"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-18","3.58","0.00","0.0","0.0","71","64"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-19","3.80","0.00","0.0","0.0","87","68"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-20","5.37","0.00","0.0","0.0","75","64"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-21","4.47","0.64","0.0","0.0","88","71"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-22","4.92","0.00","0.0","0.0","87","70"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-23","5.82","0.02","0.0","0.0","90","75"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-24","4.70","0.00","0.0","0.0","84","68"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-25","3.13","0.00","0.0","0.0","83","65"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-26","4.47","0.00","0.0","0.0","81","69"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-27","7.38","1.12","0.0","0.0","71","58"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-28","5.37","0.29","0.0","0.0","73","62"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-29","4.92","0.00","0.0","0.0","76","63"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06-30","4.92","0.04","0.0","0.0","82","68"
